Character,Series,Age,Note
Hinata Kawamoto,3-gatsu no Lion,13-15,
Chiyuri Kurashima,Accel World,15-17,
Fuuko Kurasaki,Accel World,16,
Haruyuki Arita,Accel World,13 / 14,
Kuroyukihime,Accel World,14 /15,
Takumu Mayuzumi,Accel World,15-17,
Yuniko Kozuki,Accel World,11,
Kannabi no Mikoto,Air,16 / 17,
Kano Kirishima,Air,16 / 17,
Minagi Tohno,Air,16 / 17,
Misuzu Kamio,Air,16 / 17,
Yona,Akatsuki no Yona,16,
Yoon,Akatsuki no Yona,15,
Zeno,Akatsuki no Yona,17,
Ai Nanasaki,Amagami,16 / 17,
Hikari Tsuneki,Amagami,16 / 17,
Kaoru Tanamachi,Amagami,16 / 17,Only if she's wearing a HS uniform
Makoto Kamizaki,Amagami,16 / 17,
Miu Hiyama,Amagami,16 / 17,
Miya Tachibana,Amagami,15 / 16,
Shouichi Kamita,Amagami,16 / 17,
Isuzu Sento,Amagi Brilliant Park,15 / 16,
Latifa Fleuranza,Amagi Brilliant Park,14 / 15,
Atsumu Matsuyuki,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,15,
Chiriko Tsurumi,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,15,
Jinta Yadomi,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,15 / 16,
Meiko Honma,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,15 / 16,
Naruko Anjou,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,<17,
Tetsudo Hisakawa,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,15 / 16,
Kaito Kirishima,Ano Natsu de Matteru,15,
Kanna Tanigawa,Ano Natsu de Matteru,16,
Mio Kitahara,Ano Natsu de Matteru,15,
Ikuo Takabayashi,Another,15,
Izumi Akazawa,Another,14 / 15,
Kenzou Kawahori,Another,15,
Kouichi Sakakibara,Another,15,
Misaki Fujioka,Another,15,
Naoya Teshigawara,Another,15,
Noboru Saruta,Another,15,
Shigeki Yonemura,Another,15,
Takako Sugiura,Another,15,
Takeru Mizuno,Another,15,
Tomohiko Kazami,Another,15,
Yukari Sakuragi,Another,15,
Yuuya Mochizuki,Another,15,
Ao Hojo,Ao no Exorcist,17,
Izumo Kamiki,Ao no Exorcist,16,
Konekomaru Miwa,Ao no Exorcist,15,
Nemu Takara,Ao no Exorcist,16,
Reiji Shiratori,Ao no Exorcist,16,
Renzo Shima,Ao no Exorcist,16,
Rin Okumura,Ao no Exorcist,16,
Ryuji Suguro,Ao no Exorcist,16,
Shiemi Moriyama,Ao no Exorcist,15,
Yukio Okumura,Ao no Exorcist,16,
Amata Sora,Aquarion Evol,16,
Kagura Demuri,Aquarion Evol,16,
Mikono Suzushiro,Aquarion Evol,16,
Zessica Wong,Aquarion Evol,17,
Akane Inuwaka,Arcana Heart,16,
Angelia Avallone,Arcana Heart,10,
Catherine Kyoubashi,Arcana Heart,12,
Dorothy Albright,Arcana Heart,9,
Fiona Mayfield,Arcana Heart,13,
Heart Aino,Arcana Heart,14,
Kamui Tokinomiya,Arcana Heart,16,
Kira Daidouji,Arcana Heart,11,
Konoha,Arcana Heart,13,
Lieselotte Achenbach,Arcana Heart,10,
Lilica Felchenerow,Arcana Heart,14,
Maori Kasuga,Arcana Heart,14,
Mei-Fang,Arcana Heart,17,
Mildred Avallone,Arcana Heart,17,
Nazuna Inuwaka,Arcana Heart,13,
Petra Johanna Lagerkvist,Arcana Heart,14,
Saki Tsuzura,Arcana Heart,14,
Scharlachrot,Arcana Heart,14,
Tsuzune Kasuga,Arcana Heart,16,
Weiss,Arcana Heart,14,
Yoriko Yasuzumi,Arcana Heart,14,
Aika S Granzchesta,Aria,16,
Akari Mizunashi,Aria,15,
Alice Carroll,Aria,14,
Amiya,Arknights,14~,
Aiko Kudou,Baka to Test to Shoukanjuu,16 / 17,
Akihisa Yoshii,Baka to Test to Shoukanjuu,17,
Genji Hiraga,Baka to Test to Shoukanjuu,16 / 17,
Hiromi Nakabayashi,Baka to Test to Shoukanjuu,16 / 17,
Kouta Tsuchiya,Baka to Test to Shoukanjuu,16 / 17,
Miharu Shimizu,Baka to Test to Shoukanjuu,16 / 17,
Minami Shimada,Baka to Test to Shoukanjuu,16 / 17,
Mizuki Himeji,Baka to Test to Shoukanjuu,16 / 17,
Shouko Kirishima,Baka to Test to Shoukanjuu,16 / 17,
Toshimitsu Kubo,Baka to Test to Shoukanjuu,16 / 17,
Yoshiko Mikami,Baka to Test to Shoukanjuu,16 / 17,
Yuuka Koyama,Baka to Test to Shoukanjuu,16 / 17,
Karen Araragi,Bakemonogatari,14 / 15,
Mayoi Hachikuji,Bakemonogatari,11,
Nadeko Sengoku,Bakemonogatari,13 / 14,
Ougi Oshino,Bakemonogatari,15,
Shinobu Oshino,Bakemonogatari,8,
Suruga Kanbaru,Bakemonogatari,16 / 17,
Tsukihi Araragi,Bakemonogatari,13 / 14,
Yotsugi Ononoki,Bakemonogatari,12,
Ako Udagawa,Bang Dream,14-16,
Arisa Ichigaya,Bang Dream,15-17,
Chiyu Tamade / CHUCHU,Bang Dream,14,
Eve Wakamiya,Bang Dream,16 / 17,
Hagumi Kitazawa,Bang Dream,16 / 17,
Himari Uehara,Bang Dream,16 / 17,
Kasumi Toyama,Bang Dream,15-17,
Kokoro Tsurumaki,Bang Dream,16 / 17,
Mashiro Kurata,Bang Dream,15 / 16,
Masuki Satou / MASKING,Bang Dream,16 / 17,
Misaki Okusawa,Bang Dream,16 / 17,
Moca Aoba,Bang Dream,16 / 17,
Nanami Hiromachi,Bang Dream,15 / 16,
Natsuki Umino,Bang Dream,16 / 17,
Ran Mitake,Bang Dream,16 / 17,
Rei Wakana / LAYER,Bang Dream,16 / 17,
Reona Nyubara / PAREO,Bang Dream,13 / 14,
Rimi Ushigome,Bang Dream,15-17,
Rokka Asahi / LOCK,Bang Dream,15 / 16,
Rui Yashio,Bang Dream,15 / 16,
Saaya Yamabuki,Bang Dream,15-17,
Tae Hanazono,Bang Dream,15-17,
Tomoe Udagawa,Bang Dream,16 / 17,
Touko Kirigaya,Bang Dream,15 / 16,
Tsugumi Hazawa,Bang Dream,16 / 17,
Tsukushi Futaba,Bang Dream,15 / 16,
Ciel Phantomhive,Black Butler,13,
Asta,Black Clover,15-17,
Chizuru Honsho,Bleach,16,Unless it takes place after the epilogue
Ichigo Kurosaki,Bleach,15-17,Unless it takes place after the epilogue
Karin Kurosaki,Bleach,11-13,Unless it takes place after the epilogue
Keigo Asano,Bleach,15-17,Unless it takes place after the epilogue
Mizuiro Kojima,Bleach,15-17,Unless it takes place after the epilogue
Orihime Inoue,Bleach,15-17,Unless it takes place after the epilogue
Tatsuki Arisawa,Bleach,15-17,Unless it takes place after the epilogue
Uryuu Ishida,Bleach,15-17,Unless it takes place after the epilogue
Yuzu Kurosaki,Bleach,11-13,Unless it takes place after the epilogue
Hideri Kanzaki,Blend S,16,
Kaho Hinata,Blend S,17,
Maika Sakuranomiya,Blend S,16,
Eijiro Kirishima,Boku No Hero Academia / My Hero Academia | Boku No Hero Academia,15 / 16,
Himiko Toga,Boku No Hero Academia / My Hero Academia | Boku No Hero Academia,16 / 17,
Izuku Midoriya,Boku No Hero Academia / My Hero Academia | Boku No Hero Academia,14-16,
Katsuki Bakugo,Boku No Hero Academia / My Hero Academia | Boku No Hero Academia,14-16,
Mei Hatsume,Boku No Hero Academia / My Hero Academia | Boku No Hero Academia,16,
Mina Ashido,Boku No Hero Academia / My Hero Academia | Boku No Hero Academia,15 / 16,
Momo Yaoyorozu,Boku No Hero Academia / My Hero Academia | Boku No Hero Academia,15 / 16,
Ochako Uraraka,Boku No Hero Academia / My Hero Academia | Boku No Hero Academia,15 / 16,
Shoto Todoroki,Boku No Hero Academia / My Hero Academia | Boku No Hero Academia,15 / 16,
Tsuyu Asui,Boku No Hero Academia / My Hero Academia | Boku No Hero Academia,15 / 16,
Aoi Yusa,Boku wa Tomodachi ga Sukunai,17,
Karin Jinguuji,Boku wa Tomodachi ga Sukunai,17,
Kate Takayama,Boku wa Tomodachi ga Sukunai,16,
Kobato Hasegawa,Boku wa Tomodachi ga Sukunai,14,
Kodaka Hasegawa,Boku wa Tomodachi ga Sukunai,17,
Maria Takayama,Boku wa Tomodachi ga Sukunai,10,
Rika Shiguma,Boku wa Tomodachi ga Sukunai,16,
Sena Kashiwazaki,Boku wa Tomodachi ga Sukunai,17,
Yozora Mikazuki,Boku wa Tomodachi ga Sukunai,17,
Yukimura Kusunoki,Boku wa Tomodachi ga Sukunai,16,
Nariyuki Yuiga,Bokutachi wa Benkyou ga Dekinai,17,
Rizu Ogata,Bokutachi wa Benkyou ga Dekinai,17,
Denji,Chainsaw Man,16 / 17,
Misa Kurobane,Charlotte,16,
Nao Tomori,Charlotte,15,
Yusa Nishimori,Charlotte,15,
Yuu Otosaka,Charlotte,15 / 16,
Makoto Isshiki,Chuunibyou demo Koi ga Shitai,15-17,
Rikka Takanashi,Chuunibyou demo Koi ga Shitai,15-17,
Sanae Dekomori,Chuunibyou demo Koi ga Shitai,14-16,
Shinka Nibutani,Chuunibyou demo Koi ga Shitai,15-17,
Yuuta Togashi,Chuunibyou demo Koi ga Shitai,15-17,
Anya Alstreim,Code Geass,15,
C C,Code Geass,16,
Carine ne Britannia,Code Geass,15 / 16,
Euphemia li Britannia,Code Geass,16,
Gino Weinberg,Code Geass,15 / 16,
Laila la Britannia,Code Geass,15 / 16,
Marika Soresi,Code Geass,15,
Miya I Hillmick,Code Geass,16,
Monica Krushevsky,Code Geass,17,
Nunnally vi Britannia,Code Geass,14-17,
Rolo Lamperouge,Code Geass,15 / 16,
Hotaru Shidare,Dagashi Kashi,17,
Kokonotsu Shikada,Dagashi Kashi,15 / 16,
Aotsuki Wakana,daiya no ace / daiya no ace | ace of diamond,15 / 16,
Furuya Satoru,daiya no ace / daiya no ace | ace of diamond,15 / 16,
Kominato Haruichi,daiya no ace / daiya no ace | ace of diamond,15 / 16,
Miyuki Kazuya,daiya no ace / daiya no ace | ace of diamond,15-17,
Natsukawa Yui,daiya no ace / daiya no ace | ace of diamond,16 / 17,
Okumura Koushuu,daiya no ace / daiya no ace | ace of diamond,15 / 16,
Sawamura Eijun,daiya no ace / daiya no ace | ace of diamond,15-17,
Umemoto Sachiko,daiya no ace / daiya no ace | ace of diamond,16 / 17,
Yoshikawa Haruno,daiya no ace / daiya no ace | ace of diamond,15-17,
Futoshi,Darling in the FRANXX,14-17,Unless it takes place after the timeskip
Goro,Darling in the FRANXX,14-17,Unless it takes place after the timeskip
Hiro,Darling in the FRANXX,14-17,Unless it takes place after the timeskip
Ichigo,Darling in the FRANXX,14-17,Unless it takes place after the timeskip
Ikuno,Darling in the FRANXX,14-17,Unless it takes place after the timeskip
Kokoro,Darling in the FRANXX,14-17,Unless it takes place after the timeskip
Miku,Darling in the FRANXX,14-17,Unless it takes place after the timeskip
Mitsuru,Darling in the FRANXX,14-17,Unless it takes place after the timeskip
Zorome,Darling in the FRANXX,14-17,Unless it takes place after the timeskip
Ashley Sinclair,Date a Live,15,
Cecile O'Brien,Date a Live,17,
Kotori Itsuka,Date a Live,13-15,
Kurumi Tokisaki,Date a Live,17,
Mikie Okamine,Date a Live,15,
Miku Izayo,Date a Live,17,
Yoshino Himekawa,Date a Live,13 / 14,
Atsushi Kimishita,Days,17,
Chikako Ubukata,Days,15,
Hiroyuki Kurusu,Days,15,
Hisahito Mizuki,Days,17,
Jin Kazama,Days,15,
Kiichi Ooshiba,Days,17,
Sayuri Tachibana,Days,16,
Tetsuya Nitobe,Days,15,
Tsukushi Tsukamoto,Days,15,
Hikari Takanashi,Demi-chan wa Kataritai,15,
Himari Takanashi,Demi-chan wa Kataritai,15,
Kyoko Machi,Demi-chan wa Kataritai,16,
Yuki Kusakabe,Demi-chan wa Kataritai,15,
Heiji Hattori,Detective Conan,17,
Kaito Kuroba,Detective Conan,17,
Kazuha Toyama,Detective Conan,17,
Ran Mouri,Detective Conan,16 / 17,
Shinichi Kudo,Detective Conan,16 / 17,
Sonoko Suzuki,Detective Conan,17,
Cinque Izumi,Dog Days,13,
Eclair Martinozzi,Dog Days,14,
Leonmitchelli Galette des Rois,Dog Days,16,
Millhiore Firianno Biscotti,Dog Days,13,
Nanami Takatsuki,Dog Days,15 / 16,
Noir VinoCacao,Dog Days,14,
Rebecca Anderson,Dog Days,13,
Ricotta Elmar,Dog Days,13,
Aguri Madoka,Dokidoki Precure,14,
Alice Yotsuba,Dokidoki Precure,14,
Makoto Kenzaki,Dokidoki Precure,14,
Mana Aida,Dokidoki Precure,14,
Rikka Hishikawa,Dokidoki Precure,14,
Rui Tachibana,Domestic na Kanojo,16,Before timeskip
Akemi Soryuin,Dumbbell Nan Kilo Moteru,17,
Gina Boyd,Dumbbell Nan Kilo Moteru,17,
Sakura Hibiki,Dumbbell Nan Kilo Moteru,17,
Uehara Ayaka,Dumbbell Nan Kilo Moteru,17,
Uehara Ayaka / Ayaka Uehara,Dumbbell Nan Kilo Moteru,17,
Ais Wallenstein,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,15,
Bell Cranel,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,14,
Clarice Boyd,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,17,
Coco Collins,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,16,
Elfy Colette,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,16,
Emma Flores,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,16,
Estelle Ward,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,17,
Gina Gwen,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,15,
Gita Meyers,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,17,
Iris Bennett,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,16,
Karen Morris,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,16,
Lefiya Viridis,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,13,
Lena Tally,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,14,
Leo Diaz,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,16,
Liliruca Arde,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,15,
Line Arshe,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,17,
Love Silva,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,17,
Lucia Ramirez,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,14,
Marco Powell,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,10,
Oriana Drake,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,15,
Sanjouno Haruhime,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,16,
Shinonome Momiji,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,15,
Suu Lotti,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,15,
Tiona Hiryute,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,17,
Tione Hiryute,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,16,
Vivian Green,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,16,
Welf Crozzo,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,13,
Yamato Mikoto,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,16,
Inca Kasugatani,Enen no Shouboutai / Enen no Shouboutai | Fire Force,16,
Iris,Enen no Shouboutai / Enen no Shouboutai | Fire Force,16,
Nataku Son,Enen no Shouboutai / Enen no Shouboutai | Fire Force,11,
Shinra Kusakabe,Enen no Shouboutai / Enen no Shouboutai | Fire Force,17,
Tamaki Kotatsu,Enen no Shouboutai / Enen no Shouboutai | Fire Force,17,
Elf Yamada / Emily Granger,Eromanga Sensei,14,
Masamune Izumi,Eromanga Sensei,16,
Sagiri Izumi ,Eromanga Sensei,13,
Senju Muramasa,Eromanga Sensei,14,
Eureka,Eureka Seven,14-16,Adult in Eureka Seven AO
Renton Thurston,Eureka Seven,14-17,Adult in Eureka Seven AO
Romeo Conbolt,Fairy Tail,13,
Sherria Blendy,Fairy Tail,15,
Wendy Marvell,Fairy Tail,12,
Abigail Williams,Fate Grand Order / Fate Stay Night / Fate Apocrypha,12,
Euryale,Fate Grand Order / Fate Stay Night / Fate Apocrypha,?,"No set age, but underage"
Gray,Fate Grand Order / Fate Stay Night / Fate Apocrypha,15,Unless it takes place during / after Fate/strange Fake
Illyasviel von Einzbern,Fate Grand Order / Fate Stay Night / Fate Apocrypha,?,"No set age, but underage"
Irisviel von Einzbern,Fate Grand Order / Fate Stay Night / Fate Apocrypha,10,
Jack the Ripper,Fate Grand Order / Fate Stay Night / Fate Apocrypha,9-12~,
Mordred Pendragon,Fate Grand Order / Fate Stay Night / Fate Apocrypha,16,
Nursery Rhyme,Fate Grand Order / Fate Stay Night / Fate Apocrypha,?,"No set age, but underage"
Stheno,Fate Grand Order / Fate Stay Night / Fate Apocrypha,?,"No set age, but underage"
Wu Zetian,Fate Grand Order / Fate Stay Night / Fate Apocrypha,9-12~,
Garnet Til Alexandros XVII,Final Fantasy IX,16,
Zidane Tribal,Final Fantasy IX,16,
Krile Mayer Baldesion,Final Fantasy V,14,
Duane,Final Fantasy VI,16,
Gau,Final Fantasy VI,13,
Katarin,Final Fantasy VI,16,
Relm Arrowny,Final Fantasy VI,10,
Irvine Kinneas,Final Fantasy VIII,17,
Rinoa Heartilly,Final Fantasy VIII,17,
Selphie Tilmitt,Final Fantasy VIII,17,
Squall Leonhart,Final Fantasy VIII,17,
Zell Dincht,Final Fantasy VIII,17,
Rikku,Final Fantasy X,15-17,
Tidus,Final Fantasy X,17,
Larsa Ferrinas Solidor,Final Fantasy XII,12 / 13,
Alisaie Leveilleur,Final Fantasy XIV,16,
Alphinaud Leveilleur,Final Fantasy XIV,16,
Iris Amicitia,Final Fantasy XV,15,
Ai Hayakawa,Final Fantasy: Unlimited,12,
Yu Hayakawa,Final Fantasy: Unlimited,12,
Eri Ninamori,FLCL,12,
Hidomi Hibajiri,FLCL,14,
Kana Koumoto,FLCL,17,
Ko Ide,FLCL,14,
Mamimi Samejima,FLCL,17,
Naota Nandaba,FLCL,12,
Rei Ryugazaki,Free,15-17,
Makio Fujiyama,Fujiyama-san wa shishunki,14-15~,
Yuuichi Kanba,Fujiyama-san wa shishunki,14-15~,
Gabriel Tenma White,Gabriel Dropout,16,
Satanichia Kurumizawa Mcdowell,Gabriel Dropout,15 / 16,
Tapris Sugarbell Chisaki,Gabriel Dropout,14 / 15,
Vignette April Tsukinose,Gabriel Dropout,16~,
Ayato Amagiri,Gakusen Toshi Asterisk,16,
Kirin Toudou,Gakusen Toshi Asterisk,13,
Saya Sasamiya,Gakusen Toshi Asterisk,16,
Chiyo Sakura,Gekkan Shoujo Nozaki-kun,16,
Hirotaka Wakamatsu,Gekkan Shoujo Nozaki-kun,15 / 16,
Mikoto Mikoshiba,Gekkan Shoujo Nozaki-kun,16 / 17,
Umetarou Nozaki,Gekkan Shoujo Nozaki-kun,17,
Yuu Kashima,Gekkan Shoujo Nozaki-kun,16 / 17,
Yuzuki Seo,Gekkan Shoujo Nozaki-kun,16 / 17,
Miho Nishizumi,Girls und Panzer,16,
Yukari Akiyama,Girls und Panzer,16,
Megumi Amatsuka,gj-bu,15-16,
Chino Kafu,Gochuumon wa Usagi Desu ka,13-15,
Chiya Ujimatsu,Gochuumon wa Usagi Desu ka,15 / 16,
Kokoa Hoto,Gochuumon wa Usagi Desu ka,15 / 16,
Rize Tedeza,Gochuumon wa Usagi Desu ka,15 / 16,
Sharo Kirima,Gochuumon wa Usagi Desu ka,15 / 16,
Abby,Granblue Fantasy,14~,
Kolulu,Granblue Fantasy,11~,
Kou,Granblue Fantasy,12~,
Lilele,Granblue Fantasy,13~,
Lily,Granblue Fantasy,12~,
Melleau,Granblue Fantasy,14~,
Sara,Granblue Fantasy,9~,
Aria von Reiji Asuna,Gundam Build Fighters,14,
Auel Neider,Gundam Seed Destiny,16,
Meyrin Hawke,Gundam Seed Destiny,16-17,
Shinn Asuka,Gundam Seed Destiny,16 / 17,
Stella Loussier,Gundam Seed Destiny,16,
Heero Yuy,Gundam Wing,16,
Akane Yamamoto,Haikyuu,13,
Chikara Ennoshita,Haikyuu,16 / 17,
Hisashi Kinoshita,Haikyuu,16 / 17,
Hitoka Yachi,Haikyuu,15 / 16,
Kanoka Amanai,Haikyuu,17,
Kazuhito Narita,Haikyuu,16 / 17,
Kei Tsukishima,Haikyuu,15 / 16,
Kenma Kozume,Haikyuu,16 / 17,
Ryuunosuke Tanaka,Haikyuu,16 / 17,
Shouhei Fukunaga,Haikyuu,16 / 17,
Shoyo Hinata,Haikyuu,15 / 16,
Sou Inuoka,Haikyuu,15 / 16,
Tadashi Yamaguchi,Haikyuu,15 / 16,
Taketora Yamamoto,Haikyuu,16 / 17,
Tamahiko Teshiro,Haikyuu,15 / 16,
Tobio Kageyama,Haikyuu,15 / 16,
Yuu Nishinoya,Haikyuu,16 / 17,
Mahiro Yasaka,Haiyore Nyaruko-san,17,
Chiho Sasaki,Hataraku Maou-sama,16,
Emi Yusa,Hataraku Maou-sama,17,
Athena Tennousu,Hayate no Gotoku,16 / 17,
Ayumu Nishizawa,Hayate no Gotoku,16 / 17,
Chiharu Harukaze,Hayate no Gotoku,16 / 17,
Hinagiku Katsura,Hayate no Gotoku,15 / 16,
Isumi Saginomiya,Hayate no Gotoku,13 / 14,
Izumi Segawa,Hayate no Gotoku,16 / 17,
Kayura Tsurugino,Hayate no Gotoku,13-15,
Miki Hanabishi,Hayate no Gotoku,16 / 17,
Nagi Sanzenin,Hayate no Gotoku,13-16,
Rin Kohana,Hayate no Gotoku,15,
Risa Asakaze,Hayate no Gotoku,16 / 17,
Ruka Suirenji,Hayate no Gotoku,16,
Sakuya Aizawa,Hayate no Gotoku,13 / 14,
Souya Minamino,Hayate no Gotoku,16,
Wataru Tachibana,Hayate no Gotoku,13-14,
Aine Kohara,Hibike Euphonium,15 / 16,
Akiko Yoshizawa,Hibike Euphonium,15 / 16,
Aota Maeda,Hibike Euphonium,15 / 16,
Asuka Tanaka,Hibike Euphonium,17,
Ayako Sakasaki,Hibike Euphonium,15 / 16,
Azusa Sasaki,Hibike Euphonium,15 / 16,
Babe Uchida,Hibike Euphonium,15 / 16,
Chieri Takahisa,Hibike Euphonium,15 / 16,
Chikai Maki,Hibike Euphonium,15 / 16,
Chikao Takigawa,Hibike Euphonium,15 / 16,
Eru Kabutodani,Hibike Euphonium,15 / 16,
Haruna Hosono,Hibike Euphonium,15 / 16,
Hazuki Katou,Hibike Euphonium,15 / 16,
Hibiki Tsuchiya,Hibike Euphonium,15 / 16,
Hisae Takano,Hibike Euphonium,15 / 16,
Hiyoko Ueda,Hibike Euphonium,15 / 16,
Junichi Takino,Hibike Euphonium,16 / 17,
Junna Inoue,Hibike Euphonium,15 / 16,
Kana Etou,Hibike Euphonium,15 / 16,
Kanade Hisaishi,Hibike Euphonium,15 / 16,
Keina Iwata,Hibike Euphonium,16 / 17,
Kiri Matsumoto,Hibike Euphonium,15 / 16,
Kumiko Oumae,Hibike Euphonium,15 / 16,
Kyouko Ayukawa,Hibike Euphonium,15 / 16,
Lala Hitomi,Hibike Euphonium,15 / 16,
Machiko Nara,Hibike Euphonium,15 / 16,
Maiya Kikkawa,Hibike Euphonium,15 / 16,
Maki Akamatsu,Hibike Euphonium,15 / 16,
Masako Sakai,Hibike Euphonium,15 / 16,
Maya Hashida,Hibike Euphonium,15 / 16,
Meiko Oda,Hibike Euphonium,15 / 16,
Michiko Machida,Hibike Euphonium,15 / 16,
Michiru Hakase,Hibike Euphonium,15 / 16,
Michiyo Morimoto,Hibike Euphonium,15 / 16,
Miki Katou,Hibike Euphonium,15 / 16,
Mirei Suzuki,Hibike Euphonium,15 / 16,
Miru Kishibe,Hibike Euphonium,16 / 17,
Miyoko Oono,Hibike Euphonium,16 / 17,
Mizore Yoroizuka,Hibike Euphonium,16 / 17,
Motoko Higashiura,Hibike Euphonium,15 / 16,
Motomu Tsukinaga,Hibike Euphonium,15 / 16,
Nakaba Hattori,Hibike Euphonium,15 / 16,
Nanami Ootaki,Hibike Euphonium,15 / 16,
Natsuki Nakagawa,Hibike Euphonium,16 / 17,
Nozomi Kasaki,Hibike Euphonium,16 / 17,
Rairi Hayashi,Hibike Euphonium,15 / 16,
Reina Kousaka,Hibike Euphonium,15 / 16,
Rie Shima,Hibike Euphonium,15 / 16,
Riko Nagase,Hibike Euphonium,16 / 17,
