Character,Series,Age,Note
Yuuma Kunimi,Seishun Buta Yarou Wa Bunny Girl Senpai No Yume o Minai,16 / 17,
Hibiki Tachibana,Senki Zesshou Symphogear,15-17,
Kanade Amou,Senki Zesshou Symphogear,17,
Kirika Akatsuki,Senki Zesshou Symphogear,15 / 16,
Miku Kohinata,Senki Zesshou Symphogear,16 / 17,
Serena Cadenzavna Eve,Senki Zesshou Symphogear,13,
Shirabe Tsukuyomi,Senki Zesshou Symphogear,15,
Kaori Miyazono,Shigatsu wa Kimi no Uso,14,
Kousei Arima,Shigatsu wa Kimi no Uso,14-16,
Ryota Watari,Shigatsu wa Kimi no Uso,14,
Tsubaki Sawabe,Shigatsu wa Kimi no Uso,14,
Bertholdt Hoover,Shingeki no Kyojin,16,
Fay Jaeger,Shingeki no Kyojin,7,
Marco Bodt,Shingeki no Kyojin,16,
Basara Toujou,Shinmai Maou no Testament,15-17,
Celis Reinhartd,Shinmai Maou no Testament,16,
Kurumi Nonaka,Shinmai Maou no Testament,15,
Maria Naruse,Shinmai Maou no Testament,15,
Mio Naruse,Shinmai Maou no Testament,16,
Yuki Nonaka,Shinmai Maou no Testament,16,
Akira Hayama,Shokugeki no Soma,15 / 16,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Alice Nakiri,Shokugeki no Soma,15 / 16,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Erina Nakiri,Shokugeki no Soma,15 / 16,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Etsuya Eizan,Shokugeki no Soma,16 / 17,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Hisako Arato,Shokugeki no Soma,15 / 16,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Ikumi Mito,Shokugeki no Soma,15 / 16,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Isami Aldini,Shokugeki no Soma,15 / 16,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Megumi Tadokoro,Shokugeki no Soma,15 / 16,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Ryou Kurokiba,Shokugeki no Soma,15 / 16,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Satoshi Isshiki,Shokugeki no Soma,17,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Shun Ibusaki,Shokugeki no Soma,15,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Souma Yukihira,Shokugeki no Soma,15 / 16,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Takumi Aldini,Shokugeki no Soma,15 / 16,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Yuuki Yoshino,Shokugeki no Soma,15 / 16,"Unless the doujin happens after Le dessert. If it takes place while they are still in school or live at Polar Star, underage"
Claudine Saijo,Shoujo Kageki Revue Starlight,16 / 17,
Futaba Isurugi,Shoujo Kageki Revue Starlight,16 / 17,
Kaoruko Hanayagi,Shoujo Kageki Revue Starlight,16 / 17,
maya tendo,Shoujo Kageki Revue Starlight,16 / 17,
Chuchu,Show by Rock,14 / 15,
Cyan Hijirikawa,Show by Rock,16 / 17,
Moa,Show by Rock,14 / 15,
Retoree,Show by Rock,15 / 16,
Akane Hino,Smile Precure,14 / 15,
Miyuki Hoshizora,Smile Precure,14 / 15,
Nao Midorikawa,Smile Precure,14 / 15,
Reika Aoki,Smile Precure,14 / 15,
Yayoi Kise,Smile Precure,14 / 15,
Kaede Kitajima,Sono hanabira ni kuchizuke o,16 / 17,
Kawamura Reo,Sono hanabira ni kuchizuke o,16 / 17,
Kimishima Aya,Sono hanabira ni kuchizuke o,16 / 17,
Mai Sawaguchi,Sono hanabira ni kuchizuke o,16 / 17,
Nagisa Misawa,Sono hanabira ni kuchizuke o,16~,
Oda Nanami,Sono hanabira ni kuchizuke o,15 / 16,
Onohara Hazuki,Sono hanabira ni kuchizuke o,16 / 17,
Sara Kitajima,Sono hanabira ni kuchizuke o,15 / 16,
Yuuna Matsubara,Sono hanabira ni kuchizuke o,16~,
Alpha Omega Nova,Space Patrol Luluco,13~,
Luluco,Space Patrol Luluco,13,
Midori,Space Patrol Luluco,13~,
Holo,Spice and Wolf,15,Physically underage
Mayuri Shiina,SteinsGate,16 / 17,
Asagi Aiba,Strike the Blood,15,
Astarte,Strike the Blood,12,
Kanon Kanase,Strike the Blood,15,
La Folia Rihavein,Strike the Blood,16,
Moegi Akatsuki,Strike the Blood,16,
Motoki Yaze,Strike the Blood,16,
Nagisa Akatsuki,Strike the Blood,14,
Reina Akatsuki,Strike the Blood,15,
Rin Tsukishima,Strike the Blood,16,
Sayaka Kirasaka,Strike the Blood,15,
Yukina Himeragi,Strike the Blood,14,
Aila Payvikki Linnamar,Strike Witches,16,
Aleksandra I Pokryshkin,Strike Witches,16,
Amelie Planchard,Strike Witches,15,
Anabuki Tomoko,Strike Witches,14-16,
Carla Luksic,Strike Witches,16,
Charlotte E Yeager,Strike Witches,15-17,
Eila Ilmatar Juutilainen,Strike Witches,15 / 16,
Eleonore Giovanna Gassion,Strike Witches,16,
Elfriede Schreiber,Strike Witches,16,
Elma Leivonen,Strike Witches,15,
Erica Hartmann,Strike Witches,16 / 17,
Eugenia Horbaczewski,Strike Witches,17,
Fernandia Malvezzi,Strike Witches,17,
Francesca Lucchini,Strike Witches,12 / 13,
Francie Gerard,Strike Witches,14,
Georgette Lemare,Strike Witches,17,
Giuseppina Cenni,Strike Witches,14-16,
Hanna Wind,Strike Witches,17,
Hanna-Justina Marseille,Strike Witches,14-17,
Harriet Steer,Strike Witches,16,
Hattori Shizuka,Strike Witches,14,
Heidemarie W Schnaufer,Strike Witches,15 / 16,
Heinrike Prinzessin zu Sayn-Wittgenstein,Strike Witches,16 / 17,
Helma Lennartz,Strike Witches,13,
Inagaki Mami,Strike Witches,12-16,
Isabelle du Monceau de Bergendal,Strike Witches,16,
Jane T Godfrey,Strike Witches,17,
Jennifer DeBlanc,Strike Witches,17,
Joanna Elizabeth Stafford,Strike Witches,12,
Kanno Naoe,Strike Witches,15,
Karibuchi Hikari,Strike Witches,14,
Kullamas Blengkam,Strike Witches,15,
Kuroda Kunika,Strike Witches,15,
Laura Nissinen,Strike Witches,17,
Laura Toth,Strike Witches,17,
Lee Andrea Archer,Strike Witches,17,
Lynette Bishop,Strike Witches,15 / 16,
Lyudmila Andreyevna Ruslanova,Strike Witches,14,
Manaia Matawhaura Hato,Strike Witches,13,
Maria Magdalene Dietrich,Strike Witches,15,
Marian Carl,Strike Witches,17,
Martina Crespi,Strike Witches,16,
Misumi Miya,Strike Witches,14,
Miyafuji Yoshika,Strike Witches,14-16,
Nakajima Nishiki,Strike Witches,17,
Nikka Edvardine Katajainen,Strike Witches,15,
Patricia Schade,Strike Witches,17,
Perrine H Clostermann,Strike Witches,15 / 16,
Raisa Pöttgen,Strike Witches,14-16,
Sanya V Litvyak,Strike Witches,13-15,
Shibuya Inori,Strike Witches,14,
Shimohara Sadako,Strike Witches,17,
Suwa Amaki,Strike Witches,17,
Sylvie Cariello,Strike Witches,15,
Ursula Hartmann,Strike Witches,10-17,
Vesna Mikovič,Strike Witches,17,
Virginia Robertson,Strike Witches,14,
Kazuma Ikezawa,Summer Wars,13,
Kenji Koiso,Summer Wars,17,
Kazuto Kirigaya / kazuto kirigaya | kirito,Sword Art Online,14-17,
Keiko Ayano,Sword Art Online,12-15,
Shino Asada,Sword Art Online,16 / 17,
Suguha Kirigaya / Lyfa,Sword Art Online,15-17,
Yuuki Konno,Sword Art Online,15,
Genis Sage,Tales of Symphonia,12-14,
Mithos Yggdrasill,Tales of Symphonia,14,
Presea Combatir,Tales of Symphonia,12-14,
Anise Tatlin,Tales of the Abyss,13,
Arietta,Tales of the Abyss,16,
Asch,Tales of the Abyss,17,
Ion,Tales of the Abyss,14,
Luke fon Fabre,Tales of the Abyss,7,Mentally underage
Sync,Tales of the Abyss,14,
Tear Grants,Tales of the Abyss,16,
Jude Mathis,Tales of Xillia,14-16,
Alisha Diphda,Tales of Zestiria,17,
Kanna Makino,Tamako Market,16,
Midori Tokiwa,Tamako Market,16,
Shiori Asagiri,Tamako Market,16,
Tamako Kitashirakawa,Tamako Market,16,
Echizen,Tanaka-kun wa Itsumo Kedaruge,15 / 16,
Miyano,Tanaka-kun wa Itsumo Kedaruge,15 / 16,
Oota,Tanaka-kun wa Itsumo Kedaruge,15 / 16,
Rino Tanaka,Tanaka-kun wa Itsumo Kedaruge,14 / 15,
Saya Oota,Tanaka-kun wa Itsumo Kedaruge,14,
Shiraishi,Tanaka-kun wa Itsumo Kedaruge,15 / 16,
Tanaka,Tanaka-kun wa Itsumo Kedaruge,15 / 16,
Kirie Kanoe,Tasogare Otome x Amnesia,14,
Momoe Okonogi,Tasogare Otome x Amnesia,14,
Teiichi Niiya,Tasogare Otome x Amnesia,14,
Yuuko Kanoe,Tasogare Otome x Amnesia,17,
Yuuko Kirishima,Tasogare Otome x Amnesia,14,
Raphtalia,Tate no Yuusha no Nariagari,10,Mentally underage
Assistant,Tejina Senpai,15 / 16,
Ai Hidaka,The Idolmaster,13,
Aiko Takamori,The Idolmaster,16,
Akane Hino,The Idolmaster,17,
Akane Nonohara,The Idolmaster,16,
Akari Tsujino,The Idolmaster,15,
Akiha Ikebukuro,The Idolmaster,14,
Akira Sunazuka,The Idolmaster,15,
Ako Tsuchiya,The Idolmaster,15,
Amana Osaki,The Idolmaster,17,
Ami Futami,The Idolmaster,13,
Anastasia,The Idolmaster,15,
Anna Mochizuki,The Idolmaster,14,
Anzu Futaba,The Idolmaster,17,
Aoi Shuto,The Idolmaster,13,
Arisa Matsuda,The Idolmaster,16,
Asahi Serizawa,The Idolmaster,14,
Asuka Ninomiya,The Idolmaster,14,
Atsumi Munakata,The Idolmaster,14,
Ayame Hamaguchi,The Idolmaster,15,
Azuki Momoi,The Idolmaster,15,
Cathy Graham,The Idolmaster,15,
Chieri Ogata,The Idolmaster,16,
Chihaya Kisaragi,The Idolmaster,16,
Chiyo Shirayuki,The Idolmaster,17,
Chiyoko Sonoda,The Idolmaster,17,
Chizuru Matsuo,The Idolmaster,15,
Elena Shimabara,The Idolmaster,17,
Emi Namba,The Idolmaster,17,
Emily Stewart,The Idolmaster,13,
Eri Mizutani,The Idolmaster,15,
Erika Akanishi,The Idolmaster,16,
Fuka Asano,The Idolmaster,16,
Haena Ryoo,The Idolmaster,16,
Hajime Fujiwara,The Idolmaster,16,
Haruka Amami,The Idolmaster,17,
Hasumi Nagatomi,The Idolmaster,16,
Hayate Hisakawa,The Idolmaster,14,
Hibiki Ganaha,The Idolmaster,16,
Hijiri Mochizuki,The Idolmaster,13,
Hikaru Nanjo,The Idolmaster,14,
Hinako Kita,The Idolmaster,15,
Hinana Ichikawa,The Idolmaster,15,
Hinata Kinoshita,The Idolmaster,14,
Hiori Kazano,The Idolmaster,15,
Hiromi Seki,The Idolmaster,14,
Honami Nishikawa,The Idolmaster,16,
Honoka Ayase,The Idolmaster,17,
Hotaru Shiragiku,The Idolmaster,13,
Iku Nakatani,The Idolmaster,10,
Iori Minase,The Idolmaster,15,
Izumi Ohishi,The Idolmaster,15,
Julia,The Idolmaster,16,
Juney,The Idolmaster,16,
Juri Saijo,The Idolmaster,17,
Kaho Komiya,The Idolmaster,12,
Kana Imai,The Idolmaster,16,
Kana Yabuki,The Idolmaster,14,
Kanade Hayami,The Idolmaster,17,
Kanako Mimura,The Idolmaster,17,
Karen Hojo,The Idolmaster,16,
Karen Shinomiya,The Idolmaster,16,
Karin Domyoji,The Idolmaster,17,
Kirari Moroboshi,The Idolmaster,17,
Kiriko Yukoku,The Idolmaster,17,
Kiyomi Saejima,The Idolmaster,15,
Koharu Koga,The Idolmaster,12,
Koito Fukumaru,The Idolmaster,16,
Kotoka Saionji,The Idolmaster,17,
Koume Shirasaka,The Idolmaster,13,
Kurumi Ohnuma,The Idolmaster,13,
Kyoko Igarashi,The Idolmaster,15,
Layla,The Idolmaster,16,
Madoka Higuchi,The Idolmaster,17,
Mahiro Kitagawa,The Idolmaster,17,
Makoto Kikuchi,The Idolmaster,16 / 17,
Mami Futami,The Idolmaster,13,
Mano Sakuragi,The Idolmaster,16,
Mayu Sakuma,The Idolmaster,16,
Megumi Tokoro,The Idolmaster,16,
Meguru Hachimiya,The Idolmaster,16,
Michiru Ohara,The Idolmaster,15,
Miho Kohinata,The Idolmaster,17,
Mika Jougasaki,The Idolmaster,17,
Miki Hoshii,The Idolmaster,15,
Miku Maekawa,The Idolmaster,15,
Mio Honda,The Idolmaster,15,
Mirai Kasuga,The Idolmaster,14,
Mirei Hayasaka,The Idolmaster,14,
Miu Yaguchi,The Idolmaster,14,
Miya Miyao,The Idolmaster,17,
Miyako Anzai,The Idolmaster,16,
Miyuki Yanase,The Idolmaster,14,
Mizuki Makabe,The Idolmaster,17,
Momoka Sakurai,The Idolmaster,12,
Momoko Suou,The Idolmaster,11,
Mutsumi Ujiie,The Idolmaster,13,
Nagi Hisakawa,The Idolmaster,14,
Naho Ebihara,The Idolmaster,17,
Nana Abe,The Idolmaster,17,
Nanami Asari,The Idolmaster,14,
Nao Kamiya,The Idolmaster,17,
Nao Yokoyama,The Idolmaster,17,
Nene Kurihara,The Idolmaster,15,
Nono Morikubo,The Idolmaster,14,
Noriko Shiina,The Idolmaster,13,
Ranko Kanzaki,The Idolmaster,14,
Reina Koseki,The Idolmaster,13,
Riina Tada,The Idolmaster,17,
Rika Jougasaki,The Idolmaster,12,
Rin Shibuya,The Idolmaster,15,
Rinze Morino,The Idolmaster,16,
Roco Handa,The Idolmaster,15,
Ryo Akizuki,The Idolmaster,15,
Sachiko Koshimizu,The Idolmaster,14,
Sae Kobayakawa,The Idolmaster,15,
Saki Yoshioka,The Idolmaster,17,
Sakura Muramatsu,The Idolmaster,15,
Sana Miyoshi,The Idolmaster,14,
Satomi Sakakibara,The Idolmaster,17,
Sayoko Takayama,The Idolmaster,17,
Serika Hakozaki,The Idolmaster,13,
Setsuna Imura,The Idolmaster,17,
Shiho Kitazawa,The Idolmaster,14,
Shika Kuroi,The Idolmaster,17,
Shinobu Kudo,The Idolmaster,16,
Shizuka Mogami,The Idolmaster,14,
Shizuku Oikawa,The Idolmaster,16,
Shouta Mitarai,The Idolmaster,14,
Sora Nonomura,The Idolmaster,15,
Subaru Nagayoshi,The Idolmaster,15,
Suzuho Ueda,The Idolmaster,14,
Syoko Hoshi,The Idolmaster,15,
Tamaki Ogami,The Idolmaster,12,
Tamami Wakiyama,The Idolmaster,16,
Tenka Osaki,The Idolmaster,17,
Tomoe Murakami,The Idolmaster,13,
Tomoka Tenkubashi,The Idolmaster,15,
Tomoka Wakabayashi,The Idolmaster,17,
Toru Asakura,The Idolmaster,17,
Touma Amagase,The Idolmaster,17,
Tsubasa Ibuki,The Idolmaster,14,
Tsumugi Shiraishi,The Idolmaster,17,
Umi Kousaka,The Idolmaster,16,
Uzuki Shimamura,The Idolmaster,17,
Yao Fueifuei,The Idolmaster,15,
Yasuha Okazaki,The Idolmaster,16,
Yayoi Takatsuki,The Idolmaster,14,
Yoriko Furusawa,The Idolmaster,17,
Yoshino Yorita,The Idolmaster,16,
Yui Ohtsuki,The Idolmaster,17,
Yujin Im,The Idolmaster,15,
Yukari Mizumoto,The Idolmaster,15,
Yukiho Hagiwara,The Idolmaster,17,
Yuko Hori,The Idolmaster,16,
Yumeko Sakurai,The Idolmaster,15,
Yuriko Nanao,The Idolmaster,15,
Yuuki Otokura,The Idolmaster,13,
Yuzu Kitami,The Idolmaster,15,
Hayato Akiyama,The Idolmaster Sidem,17,
Link,The Legend of Zelda,12-17~,Unless it takes place on Spirit Tracks
Zelda,The Legend of Zelda,12-17~,Unless it takes place on Spirit Tracks
Haruhi Suzumiya,The Melancholy of Haruhi Suzumiya,15 / 16,She goes to college in one of the timelines
Itsuki Koizumi,The Melancholy of Haruhi Suzumiya,16 / 17,
Kunikida,The Melancholy of Haruhi Suzumiya,16 / 17,
Kyon,The Melancholy of Haruhi Suzumiya,15-17,
Ryouko Asakura,The Melancholy of Haruhi Suzumiya,15 / 16,
Sasaki,The Melancholy of Haruhi Suzumiya,16,
Taniguchi,The Melancholy of Haruhi Suzumiya,16 / 17,
Tsuruya,The Melancholy of Haruhi Suzumiya,15 / 16,
Yuki Nagato,The Melancholy of Haruhi Suzumiya,15-17,
Blue Rose,Tiger and Bunny,16 / 17,Unless it takes place after the epilogue
Dragon Kid / Pao-Lin Huang,Tiger and Bunny,13-15,
Tomoko Hoshina,To Heart,16 / 17,
Golden Darkness,To LOVE-Ru,14 / 15,
Haruna Sairenji,To LOVE-Ru,15 / 16,
Kyouko Kirisaki,To LOVE-Ru,17,
Lala Satalin Deviluke,To LOVE-Ru,15 / 16,
Mea Kurosaki,To LOVE-Ru,<15,
Mikan Yuuki,To LOVE-Ru,11 / 12,
Momo Belia Deviluke,To LOVE-Ru,<16,
Nana Astar Deviluke,To LOVE-Ru,<16,
Nemesis,To LOVE-Ru,15 / 16,
Oshizu Murasame,To LOVE-Ru,16,
Rin Kujou,To LOVE-Ru,16 / 17,
Risa Momioka,To LOVE-Ru,15 / 16,
Rito Yuuki,To LOVE-Ru,15 / 16,
Run Elsie Jewelria,To LOVE-Ru,15 / 16,
Saki Tenjouin,To LOVE-Ru,16 / 17,
Yui Kotegawa,To LOVE-Ru,15 / 16,
Mikoto Misaka,Toaru Majutsu no Index / Toaru Kagaku no Railgun,14,
Misaki Shokuhou,Toaru Majutsu no Index / Toaru Kagaku no Railgun,13-14~,
Saten Ruiko,Toaru Majutsu no Index / Toaru Kagaku no Railgun,12 / 13,
Shirai Kuroko,Toaru Majutsu no Index / Toaru Kagaku no Railgun,12 / 13,
Touma Kamijou,Toaru Majutsu no Index / Toaru Kagaku no Railgun,15,
Ikuno Komaki,ToHeart2,<15,
Karin Sasamori,ToHeart2,16 / 17,
Konomi Yuzuhara,ToHeart2,15 / 16,
Manaka Komaki,ToHeart2,16 / 17,
Ruri Himeyuri,ToHeart2,15 / 16,
Sango Himeyuri,ToHeart2,15 / 16,
Takaaki Kouno,ToHeart2,16 / 17,
Yuma Tonami,ToHeart2,16 / 17,
Akari Amano,Tonari no Kyuuketsuki-san,15 / 16,
Aya Arisugawa,tonikaku kawaii | fly me to the moon,17,
Chitose Kaginoji,tonikaku kawaii | fly me to the moon,14,
Kaname Arisugawa,tonikaku kawaii | fly me to the moon,15,
Tsukasa Tsukuyomi,tonikaku kawaii | fly me to the moon,16,
Ami Kawashima,Toradora,16 / 17,
Hisamitsu Noto,Toradora,17,
Koji Haruta,Toradora,17,
Kota Tomiie,Toradora,15,
Maya Kihara,Toradora,17,
Minori Kushieda,Toradora,16,
Sumire Kano,Toradora,17,
Taiga Aisaka,Toradora,17,
Yusaku Kitamura,Toradora,16,
Chiyuri Kitashirakawa,Touhou Project,15,
Marisa Kirisame,Touhou Project,14~,
Reimu Hakurei,Touhou Project,14~,
Sanae Kochiya,Touhou Project,14~,
Sumireko Usami,Touhou Project,15 / 16,
Charlotte Abelfreyja Drossel,Violet Evergarden,14,
Leon Stephanotis,Violet Evergarden,16,
Violet Evergarden,Violet Evergarden,?,"According to some sites she's 14, but there's no concrete evidence. Nonetheless, Fled said she was underage"
miku hatsune,Vocaloid,16,
Seiji Amasawa,Whisper of the Heart,14 / 15,
Shizuku Tsukishima,Whisper of the Heart,14 / 15,
Yuko Harada,Whisper of the Heart,14 / 15,
Mahiru Inami,Working,17,
Poplar Taneshima,Working,17,
Souta Takanashi,Working,16,
Rex,Xenoblade Chronicles 2,15,
Lin,Xenoblade X,13,
Emeralda Kasim,Xenogears,16,
Maria Balthasar,Xenogears,13,
MOMO Mizrahi,Xenosaga,12,
Sayaka Saeki,Yagate Kimi ni Naru,16 / 17,
Touko Nanami,Yagate Kimi ni Naru,16 / 17,
Yuu Koito,Yagate Kimi ni Naru,15 / 16,
Hachiman Hikigaya,Yahari Ore no Seishun Love Come wa Machigatteiru,16 / 17,
Hayato Hayama,Yahari Ore no Seishun Love Come wa Machigatteiru,16 / 17,
Hina Ebina,Yahari Ore no Seishun Love Come wa Machigatteiru,16 / 17,
Iroha Isshiki,Yahari Ore no Seishun Love Come wa Machigatteiru,15,
Komachi Hikigaya,Yahari Ore no Seishun Love Come wa Machigatteiru,14,
Meguri Shiromeguri,Yahari Ore no Seishun Love Come wa Machigatteiru,17,
Minami Sagami,Yahari Ore no Seishun Love Come wa Machigatteiru,16 / 17,
Saika Totsuka,Yahari Ore no Seishun Love Come wa Machigatteiru,16 / 17,
Saki Kawasaki,Yahari Ore no Seishun Love Come wa Machigatteiru,16 / 17,
Yui Yuigahama,Yahari Ore no Seishun Love Come wa Machigatteiru,16 / 17,
Yukino Yukinoshita,Yahari Ore no Seishun Love Come wa Machigatteiru,16 / 17,
Yumiko Miura,Yahari Ore no Seishun Love Come wa Machigatteiru,16 / 17,
Fuuka Ayase,Yotsubato,17,
Declan Akaba,Yu-Gi-Oh ARC-V,16,
Gong Strong,Yu-Gi-Oh ARC-V,14,
Shay Obsidian,Yu-Gi-Oh ARC-V,17,
Sora Perse,Yu-Gi-Oh ARC-V,13,
Yugo,Yu-Gi-Oh ARC-V,14,
Yuya Sakaki,Yu-Gi-Oh ARC-V,14,
Zuzu Boyle,Yu-Gi-Oh ARC-V,14,
Alexis Rhodes,Yu-Gi-Oh GX,15-17,
Chazz Princeton,Yu-Gi-Oh GX,15-17,
Jaden Yuki,Yu-Gi-Oh GX,15-17,
Syrus Truesdale,Yu-Gi-Oh GX,15-17,
Yusaku Fujiki,Yu-Gi-Oh VRAINS,16,
Quattro,Yu-Gi-Oh ZEXAL,17,
Reginald Kastle,Yu-Gi-Oh ZEXAL,14,
Rio Kastle,Yu-Gi-Oh ZEXAL,14,
Tori Meadows,Yu-Gi-Oh ZEXAL,13,
Yuma Tsukumo,Yu-Gi-Oh ZEXAL,13,
Guang Hong Ji,Yuri on Ice,17,
Kenjirou Minami,Yuri on Ice,17,
Yuri Plisetsky,Yuri on Ice,15 / 16,
Yuuto Omiki,Yuri on Ice,17,
Aoi Inuyama,Yuru Camp,14-16,
Chiaki Oogaki,Yuru Camp,14-16,
Ena Saitou,Yuru Camp,14-16,
Nadeshiko Kagamihara,Yuru Camp,14-16,
Rin Shima,Yuru Camp,14-16,
Akari Akaza,YuruYuri,14,
Ayano Sugiura,YuruYuri,14,
Chinatsu Yoshikawa,YuruYuri,13,
Chitose Ikeda,YuruYuri,14,
Chizuru Ikeda,YuruYuri,14,
Himawari Furutani,YuruYuri,13,
Hiro Takaoka,YuruYuri,13,
Kyouko Toshinou,YuruYuri,14,
Momoka Adachi,YuruYuri,?,"Unknown age, but underage"
Rise Matsumoto,YuruYuri,15,
Sakurako Ohmuro,YuruYuri,13,
Sara Hirose,YuruYuri,?,"Unknown age, but underage"
Takane Dezaki,YuruYuri,?,"Unknown age, but underage"
Yui Funami,YuruYuri,14,
Henrietta de Tristain,Zero no Tsukaima,17,
Louise Francoise le Blanc de la Valliere,Zero no Tsukaima,16 / 17,
Siesta,Zero no Tsukaima,17,
Tabitha Helene Orleans de Gallia,Zero no Tsukaima,15,
Tiffania Westwood,Zero no Tsukaima,16,
Ai Mizuno,Zombie Land Saga,16,
Lily Hoshikawa,Zombie Land Saga,12,
Sakura Minamoto,Zombie Land Saga,17,
Higuchi Kaede,,17,
Kizuna AI,,16,
Tsukino Mito,,16,
Shino Inuzuka,Hakkenden,13,
Houshou Marine,Hololive,17,
Leonardo B Harwey,Fate Grand Order / Fate Stay Night / Fate Apocrypha,17,
Elizabeth Bathory,Fate Grand Order / Fate Stay Night / Fate Apocrypha,14,
Kiyohime,Fate Grand Order / Fate Stay Night / Fate Apocrypha,13,